,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,9.0,409.0,1751938.495256632,20.0,1147.0,2441196.890857005,17.0,521.0,2431729.8278025724,39.0
1,20.0,1077.0,2152771.147910398,12.0,1236.0,2382500.365491729,26.0,1310.0,2441167.8636627765,35.0
2,10.0,325.0,1551069.5443401176,30.0,1070.0,2304954.53540011,30.0,1070.0,2304954.53540011,42.0
3,20.0,1010.0,2414273.878280638,43.0,3106.0,2212480.677510974,20.0,1010.0,2414273.878280638,46.0
4,20.0,598.0,2066295.7772210296,17.0,390.0,2407991.4584902427,20.0,263.0,2491489.5438058604,34.0
5,10.0,238.0,1914062.0133524276,40.0,3346.0,2290770.014997874,17.0,904.0,2452720.803734339,47.0
6,10.0,488.0,2253394.065861541,28.0,2600.0,2433485.8587323083,17.0,853.0,2332488.470611915,36.0
7,20.0,1211.0,2330268.8732991787,25.0,2614.0,2295467.283513492,16.0,480.0,2468244.3719747122,32.0
8,7.0,772.0,2324795.6184642096,12.0,1775.0,2306798.2746427325,17.0,840.0,2371616.5172418565,21.0
9,30.0,2001.0,2353149.5734460163,35.0,2287.0,2404012.3699848214,23.0,754.0,2380307.5524384524,43.0
10,28.0,1202.0,1732544.6584455317,21.0,1496.0,2460494.6011981796,21.0,687.0,2159812.860477716,44.0
11,10.0,831.0,2332918.921621682,23.0,1372.0,2458596.498508021,17.0,639.0,2412821.8883895967,30.0
12,19.0,489.0,2443213.79808414,19.0,489.0,2443213.79808414,23.0,961.0,2301039.26593254,32.0
