,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,10.0,519.0,2515890.123589473,7.0,611.0,2495959.0649610218,41.0,853.0,2440875.7119127517,0.0
1,10.0,312.0,1994274.712438626,37.0,661.0,2496854.1147869276,27.0,380.0,2451152.965474582,0.0
2,40.0,2356.0,2279163.471114405,32.0,966.0,2257449.491916703,54.0,1017.0,2432531.0665046186,0.0
3,20.0,1223.0,1861494.14907152,12.0,2188.0,2486665.764399444,34.0,694.0,2459745.3576257587,0.0
4,30.0,1273.0,1425637.915458103,36.0,3020.0,2367913.485872183,26.0,412.0,2479292.857819784,0.0
5,10.0,318.0,1932223.6779305972,33.0,952.0,2490685.640906751,26.0,335.0,2490035.4833321283,0.0
6,22.0,977.0,1732380.8139375225,42.0,2046.0,2475289.9235417675,33.0,848.0,2435041.2496236255,0.0
7,30.0,623.0,2068291.075716108,35.0,1281.0,2391081.0891187657,28.0,1053.0,2252620.1767782555,0.0
8,30.0,1563.0,1636350.7766397947,48.0,2519.0,2351854.372073811,16.0,222.0,2461731.136962152,0.0
9,20.0,818.0,2236778.84798926,48.0,2363.0,2384877.8501091585,54.0,1466.0,2404542.710335642,0.0
10,20.0,826.0,1700247.979680473,34.0,1775.0,2438764.1194777377,22.0,688.0,2498992.027565513,0.0
11,16.0,386.0,1763839.9364756464,31.0,1278.0,2445780.0889596622,31.0,727.0,2496465.7075289167,0.0
12,30.0,955.0,2265124.0167355356,30.0,2431.0,2462049.8318809555,35.0,905.0,2499193.88855801,0.0
